bathrooms,bedrooms,has_photo,pets_allowed,price,square_feet,state,source
1.0,1.0,1,0,1050,250,CA,RentLingo
1.0,1.0,1,0,1050,250,CO,RentLingo
1.0,1.0,1,0,1045,250,VA,RentLingo
1.0,1.0,1,0,1025,250,WA,RentLingo
1.0,1.0,1,0,1005,250,CA,RentLingo
1.0,1.0,1,0,1000,250,CA,RentLingo
1.0,1.0,1,0,1000,250,FL,RentLingo
1.0,1.0,1,0,1000,250,MD,RentLingo
1.0,1.0,1,0,1000,250,CO,RentLingo
1.0,1.0,1,0,1000,250,CO,RentLingo
1.0,1.0,1,0,1000,250,CO,RentLingo
1.0,1.0,1,0,1000,250,CA,RentLingo
1.0,1.0,1,0,975,250,CA,RentLingo
1.0,1.0,1,0,965,250,NJ,RentLingo
1.0,1.0,1,0,955,250,MD,RentLingo
1.0,1.0,1,0,950,250,CO,RentLingo
1.0,1.0,1,0,950,250,CO,RentLingo
1.0,1.0,1,0,930,250,CA,RentLingo
1.0,1.0,1,0,925,250,CO,RentLingo
1.0,1.0,1,0,925,250,CA,RentLingo
1.0,1.0,1,0,925,250,MD,RentLingo
1.0,1.0,1,0,915,250,CO,RentLingo
1.0,1.0,1,0,900,250,MD,RentLingo
1.0,1.0,1,0,900,250,FL,RentLingo
1.0,1.0,1,0,900,250,CO,RentLingo
1.0,1.0,1,0,900,250,CO,RentLingo
1.0,1.0,1,0,900,250,CA,RentLingo
1.0,1.0,1,0,900,250,CA,RentLingo
1.0,1.0,1,0,895,250,CO,RentLingo
1.0,1.0,1,0,895,250,CO,RentLingo
1.0,1.0,1,0,875,250,VA,RentLingo
1.0,1.0,1,0,865,250,FL,RentLingo
1.0,1.0,1,0,865,250,GA,RentLingo
1.0,1.0,1,0,860,250,FL,RentLingo
1.0,1.0,1,0,855,250,CO,RentLingo
1.0,1.0,1,0,850,250,VA,RentLingo
1.0,1.0,1,0,850,250,CO,RentLingo
1.0,1.0,1,0,850,250,VA,RentLingo
1.0,1.0,1,0,850,250,TN,RentLingo
1.0,1.0,1,0,850,250,FL,RentLingo
1.0,1.0,1,0,850,250,OR,RentLingo
1.0,1.0,1,0,825,250,MD,RentLingo
1.0,1.0,1,0,805,250,GA,RentLingo
1.0,1.0,1,0,800,250,CO,RentLingo
1.0,1.0,1,0,800,250,CO,RentLingo
1.0,1.0,1,0,800,250,MD,RentLingo
1.0,1.0,1,0,800,250,FL,RentLingo
1.0,1.0,1,0,800,250,CA,RentLingo
1.0,1.0,1,0,800,250,FL,RentLingo
1.0,1.0,1,0,795,250,CO,RentLingo
1.0,1.0,1,0,785,250,CO,RentLingo
1.0,1.0,1,0,785,250,CO,RentLingo
1.0,1.0,1,0,760,250,CO,RentLingo
1.0,1.0,1,0,755,250,FL,RentLingo
1.0,1.0,1,0,755,250,DE,RentLingo
1.0,1.0,1,0,755,250,PA,RentLingo
1.0,1.0,1,0,750,250,CA,RentLingo
1.0,1.0,1,0,750,250,FL,RentLingo
1.0,1.0,1,0,750,250,MD,RentLingo
1.0,1.0,1,0,750,250,NC,RentLingo
1.0,1.0,1,0,725,250,TN,RentLingo
1.0,1.0,1,0,725,250,GA,RentLingo
1.0,1.0,1,0,720,250,TX,RentLingo
1.0,1.0,1,0,705,250,TX,RentLingo
1.0,1.0,1,0,700,250,AZ,RentLingo
1.0,1.0,1,0,700,250,TX,RentLingo
1.0,1.0,1,0,700,250,CO,RentLingo
1.0,1.0,1,0,700,250,AZ,RentLingo
1.0,1.0,1,0,700,250,FL,RentLingo
1.0,1.0,1,0,700,250,MD,RentLingo
1.0,1.0,1,0,700,250,CO,RentLingo
1.0,1.0,1,0,700,250,CO,RentLingo
1.0,1.0,1,0,700,250,TX,RentLingo
1.0,0.0,1,1,695,250,IA,RentLingo
1.0,1.0,1,0,695,250,IL,RentLingo
1.0,1.0,1,0,685,250,SC,RentLingo
1.0,1.0,1,0,685,250,AZ,RentLingo
1.0,1.0,1,0,675,250,TX,RentLingo
1.0,1.0,1,0,675,250,MN,RentLingo
1.0,1.0,1,0,660,250,AZ,RentLingo
1.0,1.0,1,0,650,250,MD,RentLingo
1.0,1.0,1,0,650,250,OR,RentLingo
1.0,1.0,1,0,650,250,FL,RentLingo
1.0,1.0,1,0,650,250,TX,RentLingo
1.0,1.0,1,0,650,250,TN,RentLingo
1.0,1.0,1,0,645,250,SC,RentLingo
1.0,1.0,1,0,645,250,NC,RentLingo
1.0,1.0,1,0,625,250,FL,RentLingo
1.0,1.0,1,0,610,250,AZ,RentLingo
1.0,1.0,1,0,600,250,FL,RentLingo
1.0,1.0,1,0,600,250,AZ,RentLingo
1.0,1.0,1,0,600,250,GA,RentLingo
1.0,1.0,1,0,600,250,CA,RentLingo
1.0,1.0,1,0,600,250,FL,RentLingo
1.0,1.0,1,0,600,250,MI,RentLingo
1.0,1.0,1,0,600,250,NC,RentLingo
1.0,1.0,1,0,595,250,VA,RentLingo
1.0,1.0,1,0,580,250,FL,RentLingo
1.0,1.0,1,0,575,250,PA,RentLingo
1.0,1.0,1,0,575,250,FL,RentLingo
1.0,1.0,1,0,550,250,MD,RentLingo
1.0,1.0,1,0,550,250,VA,RentLingo
1.0,1.0,1,0,500,250,SC,RentLingo
1.0,1.0,1,0,500,250,TX,RentLingo
1.0,1.0,1,0,500,250,AZ,RentLingo
1.0,1.0,1,1,499,250,KY,RentLingo
1.0,1.0,1,0,495,250,AZ,RentLingo
1.0,1.0,1,0,200,250,MD,RentLingo
1.0,0.0,1,1,1325,253,WA,RentLingo
1.0,0.0,1,1,1400,255,WA,RentLingo
1.0,0.0,1,1,1995,258,CA,RentLingo
1.0,1.0,1,1,710,265,WI,RentLingo
1.0,1.0,1,1,1659,272,DC,RentLingo
1.0,1.0,1,0,1600,272,CA,RentLingo
1.0,1.0,1,1,850,273,IN,RentLingo
1.0,0.0,1,1,1900,275,CA,RentLingo
1.0,1.0,1,0,1505,275,CA,RentLingo
1.0,1.0,1,0,900,275,AZ,RentLingo
1.0,0.0,1,1,892,275,IL,RentLingo
1.0,1.0,1,0,705,275,OH,RentDigs.com
1.0,1.0,1,0,1240,280,MD,RentLingo
1.0,1.0,1,1,870,285,AK,RentLingo
1.0,0.0,1,1,1095,286,IL,RentLingo
1.0,0.0,1,1,1350,288,WA,RentLingo
1.0,1.0,1,0,865,288,PA,RentDigs.com
1.0,1.0,1,1,690,288,FL,RentLingo
1.0,0.0,1,1,1099,290,OR,RentLingo
1.0,1.0,1,1,700,290,MN,RentLingo
1.0,0.0,1,0,850,296,IA,RentLingo
1.0,0.0,1,1,2200,300,CA,RentLingo
1.0,1.0,1,0,2112,300,NJ,RentDigs.com
1.0,1.0,1,0,1868,300,CA,RentDigs.com
1.0,1.0,1,0,1785,300,CT,RentDigs.com
1.0,1.0,1,1,1575,300,CA,RentDigs.com
1.0,1.0,1,0,1534,300,MD,RentDigs.com
1.0,1.0,1,0,1470,300,CT,RentDigs.com
1.0,1.0,1,0,1470,300,MD,RentDigs.com
1.0,1.0,1,1,1470,300,MD,RentDigs.com
1.0,2.0,1,0,1425,300,NY,RentLingo
1.0,1.0,1,0,1386,300,MD,RentDigs.com
1.0,0.0,1,0,1195,300,WA,RentLingo
1.0,1.0,1,1,995,300,IL,RentLingo
1.0,0.0,1,0,975,300,CA,RentDigs.com
1.0,1.0,1,1,911,300,IL,RentLingo
1.0,0.0,1,1,900,300,TX,RentLingo
1.0,1.0,1,0,800,300,CO,RentLingo
1.0,1.0,1,0,800,300,GA,RentLingo
1.0,1.0,1,0,795,300,CO,RentLingo
1.0,1.0,1,1,795,300,FL,ListedBuy
1.0,1.0,1,1,775,300,WI,RentLingo
1.0,0.0,1,0,760,300,IL,RentLingo
1.0,1.0,1,0,750,300,FL,RentLingo
1.0,1.0,1,0,725,300,RI,RentLingo
1.0,1.0,1,0,700,300,GA,RentLingo
1.0,1.0,1,0,650,300,OH,RentLingo
1.0,1.0,1,1,595,300,CO,RentLingo
1.0,1.0,1,1,590,300,IN,RentLingo
1.0,2.0,1,0,590,300,IN,RentLingo
1.0,2.0,1,0,585,300,IN,RentLingo
1.0,2.0,1,0,580,300,IL,RentLingo
1.0,1.0,1,0,400,300,NC,RentLingo
1.0,1.0,1,1,1195,301,NV,RentLingo
1.0,1.0,1,1,1094,306,NV,RentLingo
1.0,0.0,1,0,725,308,IN,RentLingo
1.0,0.0,1,1,1099,309,OR,RentLingo
1.0,2.0,1,0,1222,310,MA,RentLingo
1.0,0.0,1,1,2195,313,CA,RentLingo
1.0,1.0,1,1,760,313,IN,RentLingo
1.0,2.0,1,0,650,314,UT,RentLingo
1.0,0.0,1,1,2695,315,CA,RentLingo
1.0,2.0,1,1,730,315,AK,RentLingo
1.0,0.0,1,1,659,315,KY,RentLingo
1.0,1.0,1,1,775,317,IN,RentLingo
1.0,0.0,1,0,1350,318,MD,RentLingo
1.0,1.0,1,1,1100,319,IL,RentLingo
1.0,1.0,1,1,965,320,IL,RentLingo
1.0,0.0,1,0,675,320,OH,RentLingo
1.0,1.0,1,0,925,321,CO,RentLingo
1.0,1.0,1,1,845,322,WI,RentLingo
1.0,2.0,1,0,700,324,WI,RentLingo
1.0,2.0,1,0,2700,325,MA,RentDigs.com
1.0,2.0,1,1,1995,325,CA,RentLingo
1.0,1.0,1,1,1350,325,WA,RentLingo
1.0,2.0,1,1,1349,325,IL,RentLingo
1.0,2.0,1,1,975,325,NV,RentLingo
1.0,0.0,1,1,925,325,IL,RentLingo
1.0,2.0,1,1,899,325,IL,RentLingo
1.0,2.0,1,1,700,325,CT,RentDigs.com
1.0,2.0,1,1,325,325,OH,RentLingo
1.0,1.0,1,1,915,330,CO,RentDigs.com
1.0,0.0,1,0,799,330,IN,RentLingo
1.0,1.0,1,1,710,330,MO,RentLingo
1.0,2.0,1,1,2695,332,CA,RentLingo
1.0,1.0,1,1,2295,332,CA,RentLingo
1.0,2.0,1,1,1079,333,CO,RentLingo
1.0,2.0,1,0,1386,334,TX,RentLingo
1.0,1.0,1,1,800,335,IA,RentLingo
1.0,0.0,1,1,2195,336,CA,RentLingo
1.0,2.0,1,1,1100,336,WI,RentLingo
1.0,1.0,1,1,1099,336,FL,RentLingo
1.0,0.0,1,0,625,336,AZ,RentLingo
1.0,2.0,1,0,809,337,TX,RentLingo
1.0,0.0,1,1,2295,338,CA,RentLingo
1.0,2.0,1,1,1160,338,FL,RentLingo
1.0,2.0,1,0,998,338,WI,RentLingo
1.0,2.0,1,1,990,338,OR,RentLingo
1.0,1.0,1,0,785,340,WI,RentLingo
1.0,2.0,1,0,720,340,IN,RentLingo
1.0,0.0,1,1,1240,341,AZ,RentLingo
1.0,0.0,1,0,2395,342,CA,RentLingo
1.0,2.0,1,1,480,342,IN,RentLingo
1.0,0.0,1,1,800,344,TN,RentLingo
1.0,1.0,1,1,1655,346,WA,RentLingo
1.0,1.0,1,1,899,346,MN,RentLingo
1.0,1.0,1,1,600,347,MO,RentLingo
1.0,2.0,1,1,699,348,MO,RentLingo
1.0,0.0,1,0,2195,350,CA,RentLingo
1.0,2.0,1,0,1670,350,MI,RentLingo
1.0,1.0,1,0,1650,350,CA,RentLingo
1.0,2.0,1,1,1550,350,DC,RentLingo
1.0,0.0,1,1,1400,350,CA,RentLingo
1.0,0.0,1,1,1299,350,OR,RentLingo
1.0,0.0,1,1,1299,350,WA,RentLingo
1.0,2.0,1,1,1200,350,MA,RentLingo
1.0,1.0,1,1,1145,350,PA,RentLingo
1.0,1.0,1,1,1000,350,WI,RentLingo
1.0,0.0,1,0,940,350,IL,RentLingo
1.0,2.0,1,1,895,350,OH,RentLingo
1.0,0.0,1,1,875,350,TX,RentLingo
1.0,1.0,1,0,800,350,IL,RentLingo
1.0,0.0,1,1,710,350,WA,RentLingo
1.0,0.0,1,1,699,350,MD,RentDigs.com
1.0,2.0,1,1,695,350,AK,RentLingo
1.0,0.0,1,1,592,350,AZ,RentLingo
1.0,1.0,1,1,1225,351,OR,RentLingo
1.0,2.0,1,0,1246,352,TX,RentLingo
1.0,0.0,1,1,1225,352,CA,RentDigs.com
1.0,1.0,1,1,675,354,MO,RentLingo
1.0,0.0,1,1,1400,355,CA,RentLingo
1.0,1.0,1,0,585,355,IL,RentLingo
1.0,2.0,1,1,1125,357,IL,RentLingo
1.0,2.0,1,0,614,357,OH,RentDigs.com
1.0,2.0,1,1,1225,360,NJ,RentLingo
1.0,2.0,1,1,875,360,OR,RentLingo
1.0,2.0,1,0,850,360,TX,RentLingo
1.0,1.0,1,0,670,360,WI,RentLingo
1.0,1.0,1,0,639,360,IL,RentLingo
1.0,1.0,1,1,495,360,OK,RentLingo
1.0,2.0,1,1,1750,362,DC,RentLingo
1.0,1.0,1,1,1050,362,IL,RentLingo
1.0,0.0,1,0,950,362,TX,RentLingo
1.0,2.0,1,0,1200,367,OR,RentLingo
1.0,1.0,1,1,985,367,IL,RentLingo
1.0,2.0,1,1,965,368,CT,RentLingo
1.0,1.0,1,1,530,368,MI,RentLingo
1.0,2.0,1,1,1530,369,WA,RentLingo
1.0,1.0,1,0,1000,369,CA,RentDigs.com
1.0,1.0,1,1,720,369,MO,RentLingo
1.0,0.0,1,0,1225,370,NJ,RentLingo
1.0,1.0,1,1,1025,370,OR,RentLingo
1.0,1.0,1,1,765,370,TX,RentLingo
1.0,1.0,1,1,1975,375,CA,RentLingo
1.0,1.0,1,0,1525,375,CA,RentLingo
1.0,1.0,1,0,1175,375,OR,RentLingo
1.0,2.0,1,0,940,375,TX,RentLingo
1.0,1.0,1,0,850,375,IN,RentLingo
1.0,1.0,1,1,829,375,AZ,RentLingo
1.0,0.0,1,0,799,375,IN,RentLingo
1.0,2.0,1,1,773,375,MN,RentLingo
1.0,1.0,1,1,386,375,WI,RentLingo
1.0,2.0,1,1,1400,377,FL,RentLingo
1.0,2.0,1,1,1275,378,OR,RentLingo
1.0,0.0,1,0,929,378,TX,RentLingo
1.0,2.0,1,1,1591,379,CA,RentDigs.com
1.0,0.0,1,1,2695,380,CA,RentLingo
1.0,0.0,1,0,1400,380,CA,RentLingo
1.0,2.0,1,1,955,380,AK,RentLingo
1.0,1.0,1,1,540,380,AZ,RentLingo
1.0,2.0,1,1,635,382,TN,RentLingo
1.0,1.0,1,1,902,384,IL,RentLingo
1.0,0.0,1,1,2395,385,CA,RentLingo
1.0,1.0,1,1,1250,385,OR,RentLingo
1.0,1.0,1,0,540,385,IN,RentLingo
1.0,1.0,1,0,350,385,KY,ListedBuy
1.0,2.0,1,1,1262,386,OR,RentLingo
1.0,0.0,1,1,1115,389,OR,RentLingo
1.0,2.0,1,1,2095,390,RI,RentLingo
1.0,1.0,1,1,1800,390,DC,RentLingo
1.0,2.0,1,1,879,390,FL,RentLingo
1.0,1.0,1,0,699,390,IN,RentLingo
1.0,1.0,1,0,640,390,IL,RentLingo
1.0,1.0,1,0,999,391,TX,RentLingo
1.0,1.0,1,0,959,391,TX,RentLingo
1.0,0.0,1,0,1654,393,DC,RentLingo
1.0,2.0,1,1,995,393,TX,RentLingo
1.0,0.0,1,0,919,394,TX,RentLingo
1.0,0.0,1,1,1350,395,CA,RentLingo
1.0,1.0,1,1,1045,395,IL,RentLingo
1.0,2.0,1,0,976,395,TX,RentLingo
1.0,2.0,1,0,762,395,WA,RentLingo
1.0,1.0,1,0,1050,396,TX,RentLingo
1.0,1.0,1,0,1225,397,OR,RentLingo
1.0,2.0,1,1,2495,398,CA,RentLingo
1.0,1.0,1,1,1173,398,IL,RentLingo
1.0,2.0,1,0,1005,398,TX,RentLingo
1.0,2.0,1,1,1000,398,TX,RentLingo
1.0,2.0,1,0,875,398,TX,RentLingo
1.0,0.0,1,0,2450,400,CA,RentLingo
1.0,1.0,1,0,2050,400,CA,RentLingo
1.0,0.0,1,1,1659,400,DC,RentLingo
1.0,1.0,1,0,1625,400,WA,RentLingo
1.0,0.0,1,0,1599,400,NY,RentLingo
1.0,1.0,1,0,1500,400,CA,RentLingo
1.0,1.0,1,0,1500,400,CA,RentLingo
1.0,0.0,1,0,1450,400,CA,RentLingo
1.0,1.0,1,0,1415,400,CA,RentLingo
1.0,1.0,1,0,1400,400,CO,RentLingo
1.0,1.0,1,1,1395,400,MI,RentLingo
1.0,1.0,1,1,1375,400,CA,RentLingo
1.0,1.0,1,0,1355,400,CA,RentLingo
1.0,1.0,1,0,1345,400,DC,RentLingo
1.0,1.0,1,0,1250,400,MA,RentLingo
1.0,2.0,1,1,1242,400,IL,RentLingo
1.0,1.0,1,1,1225,400,OR,RentLingo
1.0,1.0,1,0,1215,400,CA,RentLingo
1.0,1.0,1,0,1200,400,AZ,RentLingo
1.0,1.0,1,1,1160,400,WI,RentLingo
1.0,1.0,1,0,1150,400,MD,RentLingo
1.0,1.0,1,0,1100,400,CO,RentLingo
1.0,1.0,1,0,1100,400,NH,RentDigs.com
1.0,2.0,1,1,1099,400,FL,RentLingo
1.0,1.0,1,0,1095,400,TX,RentLingo
1.0,2.0,1,0,1090,400,TX,RentLingo
1.0,2.0,1,0,1085,400,TX,RentLingo
1.0,1.0,1,1,1050,400,IL,RentLingo
1.0,2.0,1,0,1045,400,TX,RentLingo
1.0,2.0,1,0,1040,400,TX,RentLingo
1.0,1.0,1,0,1035,400,FL,RentLingo
1.0,2.0,1,1,1012,400,CO,RentLingo
1.0,1.0,1,1,1000,400,PA,RentLingo
1.0,1.0,1,0,1000,400,WA,RentLingo
1.0,1.0,1,1,995,400,MN,RentLingo
1.0,3.0,1,0,975,400,TX,RentLingo
1.0,0.0,1,1,975,400,TX,RentLingo
1.0,1.0,1,0,975,400,FL,RentLingo
1.0,1.0,1,0,950,400,NC,RentLingo
1.0,2.0,1,1,945,400,MN,RentLingo
1.0,0.0,1,1,925,400,TX,RentLingo
1.0,1.0,1,0,925,400,GA,RentLingo
1.0,1.0,1,1,925,400,NH,RentDigs.com
1.0,1.0,1,0,919,400,MN,RentLingo
1.0,1.0,1,0,910,400,CO,RentLingo
1.0,3.0,1,0,900,400,TX,RentLingo
1.0,1.0,1,0,900,400,VA,RentLingo
1.0,1.0,1,0,900,400,TX,RentLingo
1.0,1.0,1,1,899,400,VA,RentDigs.com
1.0,2.0,1,1,895,400,TX,RentLingo
1.0,0.0,1,0,895,400,TX,RentLingo
1.0,0.0,1,1,895,400,TX,RentLingo
1.0,0.0,1,1,895,400,TX,RentLingo
1.0,1.0,1,0,875,400,CO,RentLingo
1.0,2.0,1,0,875,400,TX,RentLingo
1.0,1.0,1,0,875,400,OR,RentLingo
1.0,1.0,1,0,865,400,CT,RentLingo
1.0,2.0,1,0,857,400,TX,RentLingo
1.0,0.0,1,1,850,400,TX,RentLingo
1.0,1.0,1,0,850,400,TX,RentLingo
1.0,1.0,1,0,845,400,CO,RentLingo
1.0,0.0,1,0,829,400,MD,RentDigs.com
1.0,1.0,1,0,800,400,CO,RentLingo
1.0,1.0,1,0,799,400,IN,RentLingo
1.0,2.0,1,1,799,400,IL,RentLingo
1.5,0.0,1,0,750,400,NV,RentDigs.com
1.0,2.0,1,0,720,400,MN,RentLingo
1.0,1.0,1,1,720,400,OH,RentLingo
1.0,1.0,1,0,700,400,CO,RentLingo
1.0,1.0,1,0,700,400,CO,RentLingo
1.0,2.0,1,1,695,400,TX,RentLingo
1.0,1.0,1,0,691,400,FL,RentLingo
1.0,1.0,1,0,690,400,FL,RentLingo
1.0,1.0,1,0,660,400,IN,RentLingo
1.0,0.0,1,1,615,400,NE,RentLingo
1.0,1.0,1,0,600,400,FL,RentLingo
1.0,1.0,1,0,600,400,CO,RentLingo
1.0,2.0,1,0,599,400,IN,RentLingo
1.0,0.0,1,1,500,400,NC,RentDigs.com
1.0,1.0,1,1,499,400,LA,RentDigs.com
1.0,1.0,1,0,475,400,CO,RentLingo
1.0,1.0,1,0,435,400,OH,RentLingo
1.0,2.0,1,1,425,400,ND,RentLingo
1.0,2.0,1,0,300,400,TX,RentLingo
1.0,1.0,1,0,975,401,TX,RentLingo
1.0,2.0,1,1,2460,402,MA,RentLingo
1.0,2.0,1,1,1050,403,WI,RentLingo
2.0,2.0,1,1,1198,404,AL,RentLingo
1.0,1.0,1,1,635,404,AZ,RentLingo
1.0,0.0,1,1,1975,405,MA,RentLingo
1.0,2.0,1,1,1725,405,CA,RentDigs.com
1.0,0.0,1,0,1495,405,DC,RentLingo
1.0,1.0,1,1,1085,405,WI,RentLingo
1.0,0.0,1,0,1085,405,CO,RentDigs.com
1.0,3.0,1,1,780,405,PA,RentLingo
1.0,1.0,1,0,1670,406,CA,RentDigs.com
1.0,0.0,1,0,1650,406,CA,RentLingo
1.0,2.0,1,0,1025,406,IL,RentLingo
1.0,0.0,1,1,950,407,AZ,RentLingo
1.0,0.0,1,1,2495,408,CA,RentLingo
1.0,0.0,1,0,1225,408,NJ,RentLingo
1.0,2.0,1,1,1350,409,WA,RentLingo
1.0,1.0,1,1,950,409,OR,RentLingo
1.0,2.0,1,1,1450,410,VA,RentLingo
1.0,0.0,1,1,950,410,PA,RentLingo
1.0,2.0,1,0,925,410,TX,RentLingo
1.0,1.0,1,1,925,410,TX,RentLingo
1.0,2.0,1,0,859,410,TX,RentLingo
1.0,1.0,1,1,695,410,NJ,RentDigs.com
1.0,2.0,1,1,595,410,IA,RentLingo
1.0,2.0,1,1,595,410,IA,RentLingo
1.0,1.0,1,0,560,410,TX,RentLingo
1.0,1.0,1,0,420,410,OH,RentDigs.com
1.0,2.0,1,0,965,411,TX,RentLingo
1.0,2.0,1,1,1115,412,OR,RentLingo
1.0,1.0,1,1,1039,413,IL,RentLingo
1.0,2.0,1,1,1540,414,DC,RentLingo
1.0,1.0,1,1,1300,414,OR,RentLingo
1.0,2.0,1,0,895,414,TX,RentLingo
1.0,1.0,1,1,750,414,MO,RentLingo
1.0,2.0,1,1,715,414,VA,RentDigs.com
1.0,2.0,1,1,1450,415,CA,RentLingo
1.0,2.0,1,1,1300,415,PA,RentLingo
1.0,1.0,1,1,1130,415,IL,RentLingo
1.0,1.0,1,1,1015,415,IL,RentLingo
1.0,2.0,1,0,999,415,TX,RentLingo
1.0,0.0,1,1,699,415,AL,RentLingo
1.0,0.0,1,1,699,415,AL,RentLingo
1.0,1.0,1,1,650,415,AR,RentLingo
1.0,2.0,1,0,1399,416,TX,RentLingo
1.0,3.0,1,1,2013,418,RI,RentLingo
1.0,2.0,1,1,1294,418,TN,RentLingo
1.0,2.0,1,1,1175,418,OR,RentLingo
1.0,2.0,1,0,875,418,MO,RentLingo
1.0,1.0,1,0,1890,419,MI,RentLingo
1.0,1.0,1,1,2100,420,CA,RentLingo
1.0,1.0,1,1,1640,420,CA,RentDigs.com
1.0,1.0,1,1,1255,420,CA,RentLingo
1.0,1.0,1,1,1250,420,IL,RentLingo
1.0,1.0,1,1,1050,420,IL,RentLingo
1.0,1.0,1,0,999,420,FL,RentLingo
1.0,0.0,1,0,995,420,WI,RentLingo
1.0,2.0,1,0,920,420,TX,RentLingo
1.0,1.0,1,0,920,420,TX,RentLingo
1.0,1.0,1,1,850,420,TX,RentLingo
1.0,1.0,1,1,725,420,LA,RentLingo
1.0,1.0,1,0,699,420,IN,RentLingo
1.0,2.0,1,0,600,420,IN,RentLingo
1.0,3.0,1,0,569,420,IN,RentLingo
1.0,1.0,1,1,560,420,AZ,RentLingo
1.0,1.0,1,1,1295,422,WA,RentLingo
1.0,2.0,1,0,870,422,TX,RentLingo
1.0,2.0,1,1,805,422,MO,RentLingo
1.0,2.0,1,1,685,422,PA,RentLingo
1.0,3.0,1,1,1219,423,VA,RentLingo
1.0,2.0,1,1,885,423,AK,RentLingo
1.0,0.0,1,1,1570,425,DC,RentLingo
1.0,2.0,1,1,1405,425,WA,RentLingo
1.0,1.0,1,0,1399,425,TX,RentLingo
1.0,0.0,1,1,1350,425,CA,RentLingo
1.0,2.0,1,0,1170,425,AK,RentLingo
1.0,0.0,1,0,995,425,TX,RentLingo
1.0,1.0,1,1,925,425,TX,RentLingo
1.0,0.0,1,0,905,425,TX,RentLingo
1.0,1.0,1,0,800,425,TX,RentLingo
1.0,1.0,1,0,799,425,TX,RentLingo
1.0,1.0,0,1,795,425,TX,RentDigs.com
1.0,1.0,1,1,2135,426,DC,RentLingo
1.0,1.0,1,1,2060,426,MA,RentLingo
1.0,1.0,1,1,1295,426,OR,RentLingo
1.0,2.0,1,1,1045,426,CO,RentLingo
1.0,0.0,1,0,899,426,AZ,RentLingo
1.0,1.0,1,1,814,426,IL,RentLingo
1.0,2.0,1,1,1745,428,CA,RentDigs.com
1.0,1.0,1,1,1395,428,NJ,RentDigs.com
1.0,2.0,1,1,1249,428,IL,RentLingo
1.0,2.0,1,0,1195,428,OR,RentLingo
1.0,3.0,1,1,785,428,OH,RentLingo
1.0,1.0,1,0,699,428,IN,RentLingo
